Discipline,Topic,Question_ID,Question_Text,Run_Number,Justification
Computer Science,Arithmetic expressions,q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,"No, this question does not directly assess the learning objectives as it focuses on identifying the correct multiplication symbol rather than writing expressions, applying precedence rules, or converting equations to Python statements."
Computer Science,Arithmetic expressions,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,"No, this question does not directly assess the learning objectives as it focuses on identifying the correct symbol for multiplication rather than writing expressions, applying precedence rules, or converting equations to Python statements."
Computer Science,Arithmetic expressions,q1,What does an _expression_ in programming always produce?,3,"No, the question does not directly assess the learning objectives, as it focuses on the general concept of expressions in programming rather than specifically evaluating or writing arithmetic expressions, applying precedence rules, or converting equations to Python statements."
Computer Science,Arithmetic expressions,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,"No, this question does not directly assess the learning objectives listed above, as it focuses on terminology related to operators rather than on writing expressions, applying precedence rules, or converting equations to Python statements."
Computer Science,Arithmetic expressions,q4,"In Python, the exponent operator is represented by _____.",4,"No, this question does not directly assess the learning objectives as it focuses on the specific syntax of the exponent operator in Python rather than on writing expressions, applying precedence, or converting equations."
Computer Science,Errors and warnings,q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,"No, the question does not directly assess the learning objectives as it focuses on the location of errors rather than analyzing compiler error messages or differentiating between types of errors."
Computer Science,Errors and warnings,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,"No, the question does not directly assess the learning objectives as it focuses on a specific detail about error reporting rather than analyzing or differentiating between types of errors or implementing best practices."
Computer Science,Floating-point,q1,Why does the float data type exist in programming languages?,1,"No, because the question does not directly evaluate the ability to convert between floating-point literals and scientific notation or use the float() function, nor does it assess the selection of appropriate data types or rounding of floating-point values."
Computer Science,Floating-point,q3,What causes an OverflowError when working with floats in Python?,1,"No, the question does not directly assess the learning objectives as it focuses specifically on the cause of an OverflowError rather than the broader skills of converting, reading, selecting data types, or rounding floats."
Computer Science,Floating-point,q1,Why does the float data type exist in programming languages?,2,"No, the question does not directly assess the learning objectives listed above, as it focuses on the purpose of the float data type rather than the specific skills related to converting, reading, selecting data types, or rounding floating-point values."
Computer Science,Floating-point,q3,What happens if a floating-point value exceeds the maximum representable range in Python?,2,"No, the question does not directly assess the learning objectives listed above, as it focuses on error handling related to floating-point values rather than conversion, input reading, data type selection, or rounding output."
Computer Science,Floating-point,q3,What causes an OverflowError when working with floats in Python?,3,"No, the question does not directly assess the learning objectives listed above, as it focuses on the specific cause of an OverflowError rather than the broader concepts of converting between floating-point literals, using float() for input, selecting appropriate data types, or rounding output."
Computer Science,Floating-point,q1,A floating-point number is used to represent a number with a/an _____.,4,"No, the question does not directly assess the learning objectives as it focuses on the definition of a floating-point number rather than the specific skills related to conversion, data type selection, or output formatting."
Computer Science,Floating-point,q3,What does an OverflowError in floating-point operations indicate?,4,"No, the question does not directly assess the learning objectives listed above, as it focuses on understanding the concept of OverflowError rather than the specific skills related to converting literals, using float(), selecting data types, or rounding values."
Computer Science,Floating-point (double),q1,Why should a floating-point literal include a digit before the decimal point?,2,"This question addresses syntax rules for floating-point literals, which is not explicitly covered in the learning objectives."
Computer Science,Floating-point (double),q1,Why should floating-point literals include a digit before the decimal point?,4,This question concerns floating-point literal syntax details not explicitly covered in the learning objectives.
Computer Science,Input_Output,q5,Why is int() used with input() when reading numbers?,2,"No, the question does not directly assess the learning objectives because it focuses on the purpose of the int() function rather than the use of the print() function or reading and storing values from input."
Computer Science,List basics,q1,A list is called _____ because its elements can be changed after creation.,2,"No, this question does not directly assess the learning objectives listed above, as it focuses on the definition of a list's mutability rather than practical skills related to creating, accessing, updating, or manipulating lists."
Computer Science,List basics,q1,A list is a container that is _____.,4,"No, the question does not directly assess the learning objectives listed above, as it focuses on the properties of lists rather than the specific skills related to creating, accessing, updating, and manipulating list elements."
Computer Science,Programming (general),q5,Which instruction completes this triangle area formula? base * height * _____,1,"No, this question does not directly assess the learning objectives as it focuses on a mathematical formula rather than the components and structure of a computer program or programming concepts."
Computer Science,Programming (general),q4,Why is computational thinking important in the information age?,2,"No, the question does not directly assess the learning objectives as it focuses on the importance of computational thinking rather than evaluating the understanding or application of programming components, variables, algorithms, or the differentiation between programming instructions and mathematical expressions."
Computer Science,Programming (general),q4,How does a computer program differ from a cooking recipe?,3,"No, the question does not directly assess the learning objectives as it focuses on comparing a computer program to a cooking recipe rather than evaluating understanding of program components, variables, algorithms, or computational thinking."
Computer Science,Programming (general),q1,A computer program executes instructions _____ at a time.,4,"No, this question does not directly assess the learning objectives as it focuses on the execution of instructions rather than the components, variables, algorithms, or computational thinking involved in programming."
Computer Science,Programming basics,q1,What symbol marks the end of each statement in Java?,3,"No, the question does not directly assess any of the learning objectives listed above, as it focuses on syntax rather than the construction of output statements, variable declaration, or the main method's purpose."
Computer Science,While loops,q5,What is the purpose of indentation in a while loop's code?,1,"No, the question does not directly assess the learning objectives listed above, as it focuses on the purpose of indentation rather than the use of while loops, sentinel values, or infinite loops."
Computer Science,While loops,q3,"In a while loop, what does indentation indicate?",3,"No, the question does not directly assess the learning objectives listed above, as it focuses on the concept of indentation rather than the use of while loops, sentinel values, or infinite loops."
Computer Science,While loops,q4,What does indentation define in a while loop?,4,"No, the question does not directly assess the learning objectives listed above, as it focuses on the concept of indentation rather than the use of while loops, sentinel values, or infinite loops."
Data Science,Data wrangling,q4,"In pandas, what does the DataFrame index represent?",2,"This question focuses on pandas DataFrame index concepts, which is not explicitly covered in the learning objectives."
Data Science,NumPy package,q4,How does the axis parameter affect the sort() function in NumPy?,2,"This question focuses on the axis parameter in sort(), which is not explicitly covered in the learning objectives."
Data Science,Programming with Python and Jupyter,q3,What is the role of the Python interpreter?,2,"This question focuses on the role of the Python interpreter, which is not explicitly covered in the stated learning objectives."
Discrete Mathematics,Sets and subsets,q6,"The cardinality of set \(A = \{2, 4, 6, 10\}\) is _____.",1,"This question focuses on cardinality calculation, which is not explicitly covered in the provided learning objectives."
Discrete Mathematics,Sets and subsets,q2,"In roster notation, repeating an element _____ the set.",2,"This question focuses on the effect of repeating elements in roster notation, which is a detail beyond the stated objectives."
Discrete Mathematics,Sets and subsets,q4,The cardinality \(|A|\) of a finite set \(A\) is the _____ of distinct elements in \(A\).,2,"This question is about cardinality definition, which is not explicitly included in the learning objectives."
Discrete Mathematics,Sets and subsets,q2,"In roster notation, the order of elements _____ affect the set.",3,"This question focuses on the effect of element order in roster notation, which is not explicitly covered in the objectives."
Discrete Mathematics,Sets and subsets,q8,"If a set \(A\) contains \(\{2, 4, 6, 8\}\), what is \(|A|\)?",3,"This question focuses on cardinality calculation, which is not explicitly covered in the learning objectives."
Discrete Mathematics,Sets and subsets,q2,"In roster notation, the order of elements in a set _____.",4,"This question focuses on the effect of element order in roster notation, which is not explicitly covered in the objectives."
Discrete Mathematics,Sets and subsets,q5,The cardinality \(|A|\) of a set \(A\) is the _____.,4,"This question focuses on cardinality definition, which is not explicitly included in the learning objectives."
